2015-10-22 15:40:53,397 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-10-22 15:40:53,931 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Bankonet:Bankonet-ihm-client:0.0.1 @ C:\Users\ETY\Desktop\Clever\GITHUB\Bankonet\bankonet-ihm-client\pom.xml.
2015-10-22 15:40:54,073 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Bankonet:Bankonet-ihm-conseiller:0.0.1 @ C:\Users\ETY\Desktop\Clever\GITHUB\Bankonet\bankonet-ihm-conseiller\pom.xml.
2015-10-22 15:40:54,144 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Bankonet:Bankonet-ihm-designpatterncommand:0.0.1 @ C:\Users\ETY\Desktop\Clever\GITHUB\Bankonet\bankonet-ihm-designpatterncommand\pom.xml.
2015-10-22 15:40:54,212 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Bankonet:Bankonet-lib:0.0.1 @ C:\Users\ETY\Desktop\Clever\GITHUB\Bankonet\bankonet-lib\pom.xml.
2015-10-22 15:40:55,160 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /bankonet-ihm-client/src/main/java
2015-10-22 15:40:55,161 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /bankonet-ihm-client/src/main/resources
2015-10-22 15:40:55,203 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /bankonet-ihm-client/src/test/java
2015-10-22 15:40:55,252 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /bankonet-ihm-client/src/test/resources
2015-10-22 15:40:55,325 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /bankonet-ihm-conseiller/src/main/java
2015-10-22 15:40:55,326 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /bankonet-ihm-conseiller/src/main/resources
2015-10-22 15:40:55,330 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /bankonet-ihm-conseiller/src/test/java
2015-10-22 15:40:55,331 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /bankonet-ihm-conseiller/src/test/resources
2015-10-22 15:40:55,406 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /bankonet-ihm-designpatterncommand/src/main/java
